"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,DBN,School Name
91.0,100.0,98.68869726279885,4.1,4.19,4.02,4.18,3.96,01M015,P.S. 015 ROBERTO CLEMENTE
100.0,93.0,102.92377288463106,4.53,4.51,4.8,4.66,3.76,01M019,P.S. 019 ASHER LEVY
58.0,90.0,85.15871796357266,2.71,2.98,1.92,3.84,3.14,01M020,P.S. 020 ANNA SILVER
29.0,100.0,95.0,2.69,2.59,2.14,3.67,2.38,01M034,P.S. 034 FRANKLIN D. ROOSEVELT
80.0,100.0,95.2793807996508,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.77,01M063,THE STAR ACADEMY - P.S.63
52.0,96.0,83.70736396182943,4.56,4.09,3.74,4.18,4.04,01M064,P.S. 064 ROBERT SIMON
79.0,77.0,91.35703065930397,3.11,3.15,1.96,3.67,3.29,01M110,P.S. 110 FLORENCE NIGHTINGALE
46.0,93.0,86.29278077253258,2.51,1.53,3.19,3.38,2.55,01M134,P.S. 134 HENRIETTA SZOLD
57.0,89.0,87.0,3.44,4.21,3.4,3.59,3.7,01M140,P.S. 140 NATHAN STRAUS
100.0,100.0,102.81600769448185,3.55,3.73,3.23,4.01,3.12,01M142,P.S. 142 AMALIA CASTRO
92.0,100.0,100.0,2.68,2.49,2.77,3.42,3.09,01M184,P.S. 184M SHUANG WEN
99.0,69.0,66.0,4.18,4.66,3.85,4.4,4.72,01M188,P.S. 188 THE ISLAND SCHOOL
49.0,100.0,82.0,3.75,3.48,3.3,3.06,3.88,01M292,ORCHARD COLLEGIATE ACADEMY
78.0,92.0,93.7017945971721,3.89,3.97,3.81,4.74,3.62,01M315,THE EAST VILLAGE COMMUNITY SCHOOL
76.0,86.0,92.0,4.08,3.92,2.7,3.2,3.84,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL
31.0,81.0,74.74794888656255,4.32,4.17,3.75,4.4,4.2,01M361,THE CHILDREN'S WORKSHOP SCHOOL
54.0,92.0,85.50754536811945,3.84,4.2,4.06,4.23,3.82,01M363,NEIGHBORHOOD SCHOOL
59.0,79.0,86.36940059278547,4.69,4.39,4.28,4.57,3.78,01M364,EARTH SCHOOL
74.0,91.0,77.0,3.72,4.06,4.88,4.17,4.32,01M378,SCHOOL FOR GLOBAL LEADERS
37.0,100.0,94.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.15,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
74.0,94.0,91.0,4.84,4.5,4.57,4.65,4.51,01M450,EAST SIDE COMMUNITY SCHOOL
8.0,81.0,36.0,3.76,4.08,3.61,2.99,4.48,01M458,FORSYTH SATELLITE ACADEMY
19.0,54.0,74.0,2.03,2.63,1.92,2.44,1.83,01M509,MARTA VALLE HIGH SCHOOL
47.0,100.0,78.0,4.37,4.24,3.74,4.02,4.41,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
67.0,88.0,96.0,3.28,3.8,3.96,3.74,2.97,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
16.0,93.0,64.0,3.65,3.21,3.16,3.53,3.39,01M650,CASCADES HIGH SCHOOL
49.0,71.0,94.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.6,01M696,BARD HIGH SCHOOL EARLY COLLEGE
51.0,74.0,97.0,3.55,3.72,3.58,4.01,3.76,01M839,TOMPKINS SQUARE MIDDLE SCHOOL
76.0,73.0,89.87638846832347,3.2,3.11,3.08,4.1,4.16,02M001,P.S. 001 ALFRED E. SMITH
76.0,74.0,89.96958537822245,3.58,3.97,3.22,4.1,4.07,02M002,P.S. 002 MEYER LONDON
59.0,100.0,84.85810712455061,3.73,3.71,3.25,4.27,4.41,02M003,P.S. 003 CHARRETTE SCHOOL
54.0,61.0,86.8178382059929,4.3,3.27,4.85,4.4,3.18,02M006,P.S. 006 LILLIE D. BLAKE
64.0,88.0,89.0954817497221,4.43,3.8,4.45,4.4,3.97,02M011,P.S. 011 WILLIAM T. HARRIS
70.0,73.0,92.05878808602012,3.67,3.17,4.29,4.23,3.35,02M033,P.S. 033 CHELSEA PREP
51.0,70.0,83.81939435571638,4.24,3.68,4.86,4.57,4.09,02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS
56.0,100.0,87.4997560953602,4.54,3.7,4.85,4.74,4.04,02M041,P.S. 041 GREENWICH VILLAGE
85.0,90.0,94.79488686285967,4.07,4.52,4.44,4.4,4.63,02M042,P.S. 042 BENJAMIN ALTMAN
24.0,76.0,96.0,3.71,2.42,3.53,2.79,2.76,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL
71.0,84.0,90.19275217461472,4.24,3.13,3.63,4.49,3.84,02M051,P.S. 051 ELIAS HOWE
59.0,68.0,86.9734531462982,4.54,3.75,4.92,4.57,3.91,02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL
81.0,78.0,98.26357168633297,3.59,4.05,4.38,4.49,2.42,02M077,P.S. 77 LOWER LAB SCHOOL
49.0,76.0,82.2203680854158,4.57,3.95,4.94,4.49,4.61,02M089,P.S. 89
71.0,89.0,91.0,3.59,3.23,3.82,2.86,3.43,02M104,J.H.S. 104 SIMON BARUCH
39.0,91.0,79.1228268050454,3.51,3.44,3.04,3.84,3.65,02M111,P.S. 111 ADOLPH S. OCHS
64.0,100.0,98.0,4.5,4.28,4.74,3.87,4.41,02M114,EAST SIDE MIDDLE SCHOOL
40.0,86.0,79.81360939185421,4.69,4.23,4.9,4.49,4.47,02M116,P.S. 116 MARY LINDLEY MURRAY
100.0,98.0,101.48552166221346,3.76,3.42,3.58,4.18,3.87,02M124,P.S. 124 YUNG WING
57.0,79.0,95.0,4.59,4.1,4.38,3.64,4.14,02M126,P.S. 126 JACOB AUGUST RIIS
75.0,100.0,91.05300602903823,3.99,4.39,3.72,4.32,4.43,02M130,P.S. 130 HERNANDO DE SOTO
61.0,92.0,92.0,4.38,4.05,3.86,3.72,4.23,02M131,M.S. 131
41.0,100.0,94.0,3.42,3.42,3.85,3.4,3.55,02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT
33.0,100.0,88.0,3.52,4.17,3.25,3.21,2.99,02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL
88.0,100.0,96.20320423142189,4.97,4.23,4.23,4.66,4.45,02M150,P.S. 150
75.0,100.0,93.78979194625789,4.69,4.18,4.94,4.57,4.24,02M151,YORKVILLE COMMUNITY SCHOOL
69.0,84.0,91.74424746814775,4.25,3.47,4.71,4.23,3.86,02M158,P.S. 158 BAYARD TAYLOR
56.0,92.0,83.0,3.81,2.96,4.02,2.68,3.13,02M167,J.H.S. 167 ROBERT F. WAGNER
44.0,100.0,92.0,4.66,3.65,3.98,3.89,3.85,02M177,YORKVILLE EAST MIDDLE SCHOOL
52.0,58.0,82.03789792018956,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.96,02M183,P.S. 183 ROBERT L. STEVENSON
